Epoch 1, Train Loss: 0.1375, Validation Loss: 0.1327
Epoch 2, Train Loss: 0.1370, Validation Loss: 0.1329
Epoch 3, Train Loss: 0.1371, Validation Loss: 0.1328
Epoch 4, Train Loss: 0.1371, Validation Loss: 0.1329
Epoch 5, Train Loss: 0.1370, Validation Loss: 0.1327
Epoch 6, Train Loss: 0.1370, Validation Loss: 0.1328
Epoch 7, Train Loss: 0.1370, Validation Loss: 0.1329
Epoch 8, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 9, Train Loss: 0.1370, Validation Loss: 0.1328
Epoch 10, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 11, Train Loss: 0.1369, Validation Loss: 0.1330
Epoch 12, Train Loss: 0.1369, Validation Loss: 0.1326
Epoch 13, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 14, Train Loss: 0.1370, Validation Loss: 0.1326
Epoch 15, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 16, Train Loss: 0.1371, Validation Loss: 0.1328
Epoch 17, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 18, Train Loss: 0.1370, Validation Loss: 0.1328
Epoch 19, Train Loss: 0.1370, Validation Loss: 0.1327
Epoch 20, Train Loss: 0.1370, Validation Loss: 0.1328
Epoch 21, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 22, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 23, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 24, Train Loss: 0.1369, Validation Loss: 0.1326
Epoch 25, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 26, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 27, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 28, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 29, Train Loss: 0.1370, Validation Loss: 0.1328
Epoch 30, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 31, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 32, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 33, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 34, Train Loss: 0.1368, Validation Loss: 0.1328
Epoch 35, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 36, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 37, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 38, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 39, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 40, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 41, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 42, Train Loss: 0.1370, Validation Loss: 0.1328
Epoch 43, Train Loss: 0.1369, Validation Loss: 0.1329
Epoch 44, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 45, Train Loss: 0.1370, Validation Loss: 0.1327
Epoch 46, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 47, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 48, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 49, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 50, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 51, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 52, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 53, Train Loss: 0.1368, Validation Loss: 0.1328
Epoch 54, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 55, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 56, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 57, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 58, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 59, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 60, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 61, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 62, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 63, Train Loss: 0.1368, Validation Loss: 0.1327
Epoch 64, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 65, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 66, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 67, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 68, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 69, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 70, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 71, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 72, Train Loss: 0.1368, Validation Loss: 0.1327
Epoch 73, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 74, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 75, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 76, Train Loss: 0.1368, Validation Loss: 0.1327
Epoch 77, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 78, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 79, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 80, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 81, Train Loss: 0.1380, Validation Loss: 0.1429
Epoch 82, Train Loss: 0.1375, Validation Loss: 0.1328
Epoch 83, Train Loss: 0.1376, Validation Loss: 0.1329
Epoch 84, Train Loss: 0.1371, Validation Loss: 0.1328
Epoch 85, Train Loss: 0.1371, Validation Loss: 0.1328
Epoch 86, Train Loss: 0.1370, Validation Loss: 0.1327
Epoch 87, Train Loss: 0.1370, Validation Loss: 0.1328
Epoch 88, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 89, Train Loss: 0.1370, Validation Loss: 0.1327
Epoch 90, Train Loss: 0.1370, Validation Loss: 0.1328
Epoch 91, Train Loss: 0.1370, Validation Loss: 0.1328
Epoch 92, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 93, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 94, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 95, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 96, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 97, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 98, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 99, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 100, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 101, Train Loss: 0.1370, Validation Loss: 0.1328
Epoch 102, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 103, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 104, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 105, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 106, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 107, Train Loss: 0.1370, Validation Loss: 0.1328
Epoch 108, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 109, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 110, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 111, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 112, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 113, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 114, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 115, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 116, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 117, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 118, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 119, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 120, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 121, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 122, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 123, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 124, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 125, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 126, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 127, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 128, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 129, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 130, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 131, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 132, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 133, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 134, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 135, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 136, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 137, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 138, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 139, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 140, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 141, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 142, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 143, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 144, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 145, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 146, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 147, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 148, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 149, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 150, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 151, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 152, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 153, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 154, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 155, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 156, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 157, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 158, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 159, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 160, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 161, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 162, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 163, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 164, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 165, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 166, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 167, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 168, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 169, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 170, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 171, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 172, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 173, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 174, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 175, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 176, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 177, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 178, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 179, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 180, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 181, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 182, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 183, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 184, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 185, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 186, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 187, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 188, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 189, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 190, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 191, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 192, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 193, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 194, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 195, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 196, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 197, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 198, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 199, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 200, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 201, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 202, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 203, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 204, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 205, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 206, Train Loss: 0.1369, Validation Loss: 0.1328
Epoch 207, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 208, Train Loss: 0.1369, Validation Loss: 0.1327
Epoch 209, Train Loss: 0.1369, Validation Loss: 0.1328
